,文字说明,命令,系统
0,扫描本机所在网段上有哪些主机是存活的,sudo nmap -sP ,
1,端口扫描：输入目标主机ip，扫描某台主机开放了哪些端口,sudo nmap -sT ,
2,隐藏扫描，输入目标主机ip，只在目标主机上留下很少的日志信息,sudo nmap -sS ,
3,UDP端口扫描：输入目标主机ip，扫描目标主机开放了哪些UDP端口,sudo nmap -sU ,
4,操作系统识别：输入目标主机ip，查询是哪个系统,sudo nmap -sS -O  ,
5,上传或者同步大型项目文件到服务器,rsync -avP <文件位置> <服务器ip>:<服务器内待存位置>,
6,检查本机网段内ip,ifconfig | grep inet | grep netmask | grep b,
7,查看本机网段内 激活/在线 的设备,fping -g <内网ip>/24,
8,查询本地公网ip,curl cip.cc,
9,上传《网络工具》项目到GPU服务器,rsync -avP /Users/zhangjing/网络工具/ GPUserver:/home/manman/网络工具/,
10,上传《网络工具》项目到华为服务器,rsync -avP /Users/zhangjing/网络工具/ huawei:/root/网络工具/,
11,查询系统运行时间,"uptime -p / cat /proc/uptime| awk -F. '{run_days=$1 / 86400;run_hour=($1 % 86400)/3600;run_minute=($1 % 3600)/60;run_second=$1 % 60;printf(""系统已运行：%d天%d时%d分%d秒"",run_days,run_hour,run_minute,run_second)}'",
12,查询系统开机时间,"who -r / date -d ""$(awk -F. '{print $1}' /proc/uptime) second ago"" +""%Y-%m-%d %H:%M:%S""",
13,查询系统历史启动时间,last reboot,
14,存储盘的位置,cd /media/manman/,
15,酒店开房数据集的位置,cd /media/manman/E6EEBD7CEEBD4599/大型数据集备份/酒店记录数据集,
